TermID,TermName,ParentID
669,مهارت‌های فنی و شغلی,11
670,ورزش,11
671,آزمون‌های زبان,11
672,توسعه مهارت‌های مهندسی و علوم پایه,11
673,فنون مذاکره,630
674,سخنرانی و سخنوری,630
675,مدیریت محصول,630
676,مهارت‌‌های کودکان و نوجوانان,11
677,دروس دانش آموزی,11
678,دوره ابتدایی,677
679,پایه هفتم,677
680,پایه هشتم,677
681,پایه نهم,677
682,پایه دهم,677
683,پایه یازدهم,677
684,پایه دوازدهم,677
685,توسعه فردی,11
686,تیپ شخصیت,685
687,زبان بدن,685
688,تفکر خلاق,685
689,هوش هیجانی,685
690,تفکر سیستمی,685
691,تقویت حافظه,685
692,مدیریت تعارض,685
693,تندخوانی,685
694,تفکر انتقادی,685
695,ارتباط موثر,685
696,رفتار سازمانی,685
697,خودباوری,685
698,رهبری,685
699,افزایش بهره‌وری و عملکرد,685
700,هوش کلامی,685
701,فن بیان,685
702,سلامت روان,11
703,کمال گرایی,702
704,اضطراب اجتماعی,702
705,درمان افسردگی,702
706,مشاوره خانواده,702
707,اختلال شخصیت,702
708,ازدواج موفق,702
709,کنترل خشم,702
710,کاهش استرس,702
711,موفقیت شغلی,702
712,سلامت جسمی,11
713,کمک‌های اولیه,712
714,تغذیه و رژيم,712
715,طب سنتی,712
716,خود درمانی,712
717,آموزش جوشکاری,669
718,برق خودرو,669
719,آموزش plc,669
720,آموزش برق ساختمان,669
721,آموزش نصب دوربین مداربسته,669
722,آموزش تعمیرات موبایل,669
723,آموزش تعمیرات لوازم خانگی,669
724,آموزش پرورش گل و گیاه,669
725,آموزش تهویه مطبوع,669
726,آموزش تعمیرات برد الکترونیکی,669
727,آموزش آشپزی,669
728,دفاع شخصی,670
729,مدیتیشن,670
730,شطرنج,670
731,یوگا,670
732,شنا,670
733,فوتبال,670
734,کاراته,670
735,تکواندو,670
736,بستکتبال,670
737,تیراندازی,670
738,کشتی,670
739,رقص,670
740,تغذیه,670
741,بدنسازی و فیتنس,670
742,ترکی,240
743,اسپانیایی,240
745,هندی,240
746,عربی,240
747,کره ای,240
748,سوئدی,240
749,هلندی,240
750,زبان کودک و نوجوان,240
751,تافل,671
752,آیلتس,671
753,اسپیکینگ آیلتس,752
754,رایتینگ آیلتس,752
755,ریدینگ آیلتس,752
756,لیسنینگ آیلتس,752
757,دولینگو,671
758,PTE,671
759,GRE,671
760,CAE,671
761,FCE,671
762,TOEIC,671
763,TOESL,671
764,TEFL,671
765,مهندسی برق و الکترونیک,672
766,مدارهای الکتریکی,765
767,سیستم‌های مخابراتی,765
768,اینترنت اشیاء (IoT),765
769,نرم افزارهای مهندسی برق,765
770,قدرت,765
771,کنترل,765
772,مخابرات,765
773,الکترونیک,765
774,کنترل خطی,765
775,دیجیتال,765
776,دروس مبانی برق,765
777,مهندسی کامپیوتر,672
778,رشته مهندسی نرم افزار,777
779,رشته هوش مصنوعی,777
780,رشته معماری کامپیوتر,777
781,طراحی الگوریتم,777
782,رشته امنیت و شبکه,777
783,مهندسی مکانیک,672
784,نرم افزارهای مهندسی مکانیک,783
785,سیالات,783
786,ساخت و تولید,783
787,جامدات,783
788,مکاترونیک,783
789,مهندسی دریا,783
790,تبدیل انرژی,783
791,طراحی اجزا,783
792,مکانیک خودرو,783
793,سالیدوورک,783
794,مقاومت مصالح,783
795,کتیا,783
796,مهندسی صنایع,672
797,نرم افزارهای مهندسی صنایع,796
798,مدیریت پروژه,796
799,لجستیک و زنجیره تامین,796
800,تحلیل داده,796
801,مدیریت کیفیت,796
802,مهندسی عمران,672
803,نرم افزارهای مهندسی عمران,802
804,سازه و زلزله,802
805,مدیریت ساخت,802
806,ژئوتکنیک,802
807,راه و ترابری,802
808,مدیریت حمل و نقل,802
809,نقشه برداری,802
810,طراحی سازه,802
811,زلزله نگاری,802
812,ایتبس,802
813,مهندسی معماری,672
814,نرم افزارهای مهندسی معماری,813
815,مهندسی هوافضا,672
816,نرم افزارهای مهندسی هوافضا,815
817,پیش رانش,815
818,دینامیک پرواز و کنترل,815
819,آیرودینامیک,815
820,مهندسی فضایی,815
821,سازه های فضایی,815
822,مهندسی شیمی,672
823,نرم افزارهای مهندسی شیمی,822
824,طراحی فرایند,822
825,جداسازی,822
826,ترموسینتیک,822
827,کاتالیست,822
828,پلیمر,822
829,صنایع گاز,822
830,مهندسی رباتیک,672
831,برنامه نویسی ربات,830
832,سنسورها,830
833,کنترل رباتیک,830
834,مهندسی مواد,672
835,نرم افزارهای مهندسی مواد,834
836,پلیمر,834
837,سرامیک,834
838,متالوژی,834
839,نانوفناوری,834
840,مهندسی پزشکی,672
841,بیومکانیک,840
842,بیوالکترونیک,840
843,بیومتریال,840
844,نرم افزارهای مهندسی پزشکی,840
845,مهارت های دانشگاهی,672
846,مقاله نویسی,845
847,رفرنس نویسی,845
848,مهارت های ارائه,845
849,فهرست نویسی,845
850,پروپوزال نویسی,845
851,پایان نامه نویسی,845
852,مهندسی راه آهن,672
853,مهندسی ماشین های ریلی,852
854,مهندسی حمل و نقل ریلی,852
855,مهندسی خط و سازه های ریلی,852
856,دروس مشترک مهندسی,672
857,اتوکد,856
858,اقتصاد مهندسی,856
859,فیزیک عمومی,856
860,فیزیک ۱,856
861,ریاضی عمومی,856
862,محاسبات عددی,856
863,ریاضی ۲,856
864,متلب,856
865,شیمی عمومی,856
866,معادلات دیفرانسیل,856
867,استاتیک,856
868,رشته ریاضی,8
869,محض – کاربردی,868
870,رگرسیون خطی,868
871,جبر خطی,868
872,انتگرال,868
873,آمار,868
